会話ID,フラグ,話者,ボイスファイルネーム,背景,会話,会話(English),キャラ1,キャラ1_立ち位置※追加不可,キャラ1_ファイル名,キャラ2,キャラ2_立ち位置※追加不可,キャラ2_ファイル名
ClassTest_01,Test1,Takashi,,Conversation_HonorStudent_Noon,これはテストだ！,This is a test!,Takashi,Left,,Akari,Right,
,,Akari,,,これはテストだよ,This is a test.,Akari,Left,,Takashi,Right,
,,Takashi,,,お前誰だよ！,Who the hell are you?,Takashi,Left,,Akari,Right,
,,Akari,,,あんたこそ誰よ！,Who are you?,Akari,Left,,Takashi,Right,
ClassTest_02,ClassTest1,先生,,Conversation_HonorStudent_Noon,それでは授業を始めます。,,,,,,,
,,先生,,,第一問!,,,,,,,
,,先生,,,[Choice][ClassProblemSelectTest_04],,,,,,,
,,先生,,,第二問!,,,,,,,
,,先生,,,[Choice][ClassProblemSelectTest_05],,,,,,,
,,先生,,,第三問!,,,,,,,
,,先生,,,[Choice][ClassProblemSelectTest_06],,,,,,,
,,先生,,,第四問!,,,,,,,
,,先生,,,[Choice][ClassProblemSelectTest_07],,,,,,,
,,先生,,,第五問!,,,,,,,
,,先生,,,[Choice][ClassProblemSelectTest_08],,,,,,,
,,先生,,,以上で授業は終了です!,,,,,,,
Prologue,Prologue,,,Conversation_BackGround_03_Night,入学して数か月。,,リアン,Left,Conversation_StandingPicture_01,生徒会長,Right,Conversation_StandingPicture_02
,,リアン,Lian_52,,次の授業は......攻撃魔法の授業か。,,リアン,Left,Conversation_StandingPicture_01,生徒会長,Right,Conversation_StandingPicture_02
,,リアン,Lian_53,,[Tutorial][SetFlag:Tutorial][Skit][BeforeSkitTutorial]遅刻しないためにもう行こうかな！,,リアン,Left,Conversation_StandingPicture_01,生徒会長,Right,Conversation_StandingPicture_02
BeforeSkitTutorial,Tutorial,リアン,Lian_54,Conversation_BackGround_03_Night,あ、危ない！,,リアン,Left,Conversation_StandingPicture_01,生徒会長,Right,Conversation_StandingPicture_02
,,生徒会長,SCP_55,,いや！わたくしのお気に入りのお洋服が！信じられないですわ！,,リアン,Left,Conversation_StandingPicture_01,生徒会長,Right,Conversation_StandingPicture_02
,,リアン,Lian_56,,すみません！,,リアン,Left,Conversation_StandingPicture_01,生徒会長,Right,Conversation_StandingPicture_02
,,生徒会長,SCP_57,,謝罪して許されるとお思いで！？混ざりものが！,,リアン,Left,Conversation_StandingPicture_01,生徒会長,Right,Conversation_StandingPicture_02
,,リアン,,,...,,リアン,Middle,Conversation_StandingPicture_01,,,
,,プレイヤー,,,いいのか？それで。俺は納得いってないぞ。見返してやろうぜ！,,リアン,Middle,Conversation_StandingPicture_01,,,
,,リアン,Lian_63,,（できるのかな......）,,リアン,Middle,Conversation_StandingPicture_01,,,
,,プレイヤー,,,[SetFlag:FirstExam]できる！見返してやろうぜ！,,リアン,Middle,Conversation_StandingPicture_01,,,
FirstExam1,TutorialClear,生徒会長,SCP_62,Conversation_HonorStudent_Noon,貴方、わたくしにたてつくというの？いい度胸ですわ！あなたがどういう存在か、わたくしの炎で今一度わからせてあげますわ。,,リアン,Left,Conversation_StandingPicture_01,生徒会長,Right,Conversation_StandingPicture_02
,,リアン,Lian_63,,（できるかな......）,,リアン,Middle,Conversation_StandingPicture_01,,,
